gen, roulette_hypot_uniform_best, roulette_hypot_uniform_ave
 635,   0.6178, 0.432543
 636,   0.6178, 0.437684
 637,   0.6178, 0.438141
 638,   0.6179, 0.439587
 639,   0.6179, 0.440497
 640,   0.6179, 0.433943
 641,   0.6179, 0.436301
 642,   0.6179,  0.43821
 643,   0.6179, 0.441739
 644,   0.6179,  0.43394
 645,   0.6179, 0.431605
 646,   0.6179, 0.432352
 647,   0.6179, 0.434531
 648,   0.6179, 0.437673
 649,   0.6179, 0.439246
 650,   0.6179, 0.443332
 651,   0.6179, 0.439132
 652,   0.6179, 0.437947
 653,   0.6179, 0.443428
 654,   0.6179, 0.442474
 655,   0.6179, 0.444111
 656,   0.6179, 0.440288
 657,   0.6179, 0.438833
 658,   0.6179, 0.441157
 659,   0.6179, 0.441056
 660,   0.6179, 0.446874
 661,   0.6179,  0.44832
 662,   0.6073, 0.449106
 663,   0.6073, 0.450889
 664,   0.6073,  0.44473
 665,   0.6073, 0.442024
 666,   0.6073, 0.438706
 667,   0.6073, 0.442877
 668,   0.6073, 0.443824
 669,   0.6073, 0.440916
 670,   0.6073, 0.438197
 671,   0.6073, 0.434235
 672,   0.6073, 0.437802
 673,   0.6073, 0.437357
 674,   0.6073, 0.431956
 675,   0.6073, 0.437845
 676,   0.6073, 0.440276
 677,   0.6073, 0.435396
 678,   0.6073, 0.440102
 679,   0.6073, 0.443446
 680,   0.6073, 0.446473
 681,   0.6073,  0.44654
 682,   0.6073, 0.448689
 683,   0.6073, 0.445601
 684,   0.6073, 0.440768
 685,   0.6073, 0.428545
 686,   0.6073, 0.431706
 687,   0.6073, 0.432409
 688,   0.6073, 0.436685
 689,   0.6073, 0.430791
 690,   0.6073, 0.432571
 691,   0.6073, 0.433894
 692,   0.6073, 0.433886
 693,   0.6073, 0.431166
 694,   0.6073, 0.426971
 695,   0.6073, 0.428885
 696,   0.6073, 0.436036
 697,   0.6073, 0.437384
 698,   0.6073, 0.438482
 699,   0.6073,  0.43568
 700,   0.6073, 0.439863
 701,   0.6073, 0.437781
 702,   0.6073, 0.439416
 703,   0.6073, 0.437299
 704,   0.6073, 0.428441
 705,   0.6073, 0.430402
 706,   0.6073,  0.43929
 707,   0.6073, 0.437117
 708,   0.6073, 0.442685
 709,   0.6073, 0.442001
 710,   0.6073, 0.443469
 711,   0.6073, 0.447531
 712,   0.6073, 0.450384
 713,   0.6073,  0.44435
 714,   0.6073, 0.445794
 715,   0.6073, 0.444857
 716,   0.6073, 0.443292
 717,   0.6073, 0.447912
 718,   0.6073, 0.450758
 719,   0.6073,  0.44372
 720,   0.6073, 0.446774
 721,   0.6073, 0.446667
 722,   0.6073, 0.454482
 723,   0.6073, 0.451151
 724,   0.6073, 0.449553
 725,   0.6073, 0.449554
 726,   0.6073, 0.446663
 727,   0.6073, 0.446067
 728,   0.6073, 0.444759
 729,   0.6073, 0.451182
 730,   0.6073, 0.449385
 731,   0.6073, 0.444776
 732,   0.6073, 0.446846
 733,   0.6073, 0.454469
 734,   0.6073, 0.454834
 735,   0.6073, 0.450068
 736,   0.6073, 0.449515
 737,   0.6073, 0.453068
 738,   0.6073, 0.455995
 739,   0.6073, 0.454043
 740,   0.6073, 0.454363
 741,   0.6073, 0.450987
 742,   0.6073, 0.447349
 743,   0.6073,  0.44874
 744,   0.6073, 0.452772
 745,   0.6073, 0.454698
 746,   0.6073, 0.459547
 747,   0.6073,  0.45336
 748,   0.6073, 0.450433
 749,   0.6215, 0.454397
 750,   0.6215, 0.448501
 751,   0.6215,  0.44586
 752,   0.6215, 0.444767
 753,   0.6215, 0.448429
 754,   0.6215, 0.456993
 755,   0.6215, 0.456625
 756,   0.6215, 0.454027
 757,   0.6215,  0.45552
 758,   0.6215, 0.451343
 759,   0.6215, 0.449452
 760,   0.6215,  0.45326
 761,   0.6215, 0.447505
 762,   0.6215, 0.447518
 763,   0.6215,  0.45345
 764,   0.6215, 0.447512
 765,   0.6215, 0.448782
 766,   0.6215, 0.453346
 767,   0.6215, 0.447708
 768,   0.6215, 0.442905
 769,   0.6272, 0.444306
 770,   0.6272, 0.445025
 771,   0.6272, 0.446533
 772,   0.6272, 0.443403
 773,   0.6272, 0.447837
 774,   0.6272, 0.451322
 775,   0.6272, 0.443894
 776,   0.6272, 0.446706
 777,   0.6272, 0.448787
 778,   0.6272, 0.453978
 779,   0.6272, 0.448914
 780,   0.6272, 0.444312
 781,   0.6272, 0.455589
 782,   0.6272, 0.456569
 783,   0.6272, 0.456662
 784,   0.6272, 0.452977
 785,   0.6272, 0.446851
 786,   0.6272, 0.445784
 787,   0.6272, 0.446623
 788,   0.6272, 0.442209
 789,   0.6272, 0.444254
 790,   0.6272, 0.441383
 791,   0.6272, 0.444937
 792,   0.6272, 0.443935
 793,   0.6272, 0.445778
 794,   0.6272, 0.451261
 795,   0.6272, 0.448093
 796,   0.6272, 0.454542
 797,   0.6272, 0.454358
 798,   0.6277, 0.456179
 799,   0.6277, 0.453217
 800,   0.6277,  0.44881
 801,   0.6277, 0.447312
 802,   0.6277, 0.443633
 803,   0.6277, 0.444054
 804,   0.6277,   0.4496
 805,   0.6277,  0.45727
 806,   0.6277, 0.457224
 807,   0.6277, 0.459209
 808,   0.6277, 0.455855
 809,   0.6277, 0.454508
 810,   0.6277, 0.455509
 811,   0.6277, 0.456261
 812,   0.6277, 0.453716
 813,   0.6277, 0.457038
 814,   0.6277, 0.451961
 815,   0.6277, 0.456789
 816,   0.6277, 0.460784
 817,   0.6277, 0.453326
 818,   0.6277, 0.451461
 819,   0.6277, 0.451665
 820,   0.6277, 0.448622
 821,   0.6277, 0.446731
 822,   0.6277, 0.447715
 823,   0.6277, 0.449216
 824,   0.6277, 0.444171
 825,   0.6277, 0.450171
 826,   0.6277, 0.441964
 827,   0.6277, 0.449523
 828,   0.6277, 0.444568
 829,   0.6277, 0.448386
 830,   0.6277, 0.452096
 831,   0.6277, 0.449071
 832,   0.6277, 0.454396
 833,   0.6277, 0.454735
 834,   0.6277, 0.449657
 835,   0.6277, 0.445583
 836,   0.6277, 0.449908
 837,   0.6277, 0.451167
 838,   0.6277, 0.451654
 839,   0.6277, 0.458434
 840,   0.6277, 0.452951
 841,   0.6277, 0.451178
 842,   0.6277, 0.449944
 843,   0.6277,  0.45381
 844,   0.6277,  0.45388
 845,   0.6277, 0.455642
 846,   0.6277, 0.444451
 847,   0.6311, 0.447006
 848,   0.6311,  0.44627
 849,   0.6311, 0.445823
 850,   0.6311, 0.447564
 851,   0.6311, 0.442523
 852,   0.6311, 0.443164
 853,   0.6311,  0.44451
 854,   0.6311, 0.446394
 855,   0.6311, 0.450246
 856,   0.6311,  0.44796
 857,   0.6311,  0.44723
 858,   0.6311, 0.448027
 859,   0.6311, 0.445077
 860,   0.6311, 0.448268
 861,   0.6311, 0.444553
 862,   0.6311, 0.446669
 863,   0.6273, 0.450027
 864,   0.6273, 0.451313
 865,   0.6273, 0.450652
 866,   0.6273,  0.45333
 867,   0.6273, 0.459608
 868,   0.6273, 0.452624
 869,   0.6273, 0.449077
 870,   0.6273, 0.447092
 871,   0.6273, 0.447767
 872,   0.6273, 0.444836
 873,   0.6273, 0.444113
 874,   0.6273, 0.447526
 875,   0.6273, 0.443258
 876,   0.6273, 0.440992
 877,   0.6273,  0.44849
 878,   0.6273, 0.449682
 879,   0.6273, 0.446309
 880,   0.6273, 0.447493
 881,   0.6273, 0.448073
 882,   0.6273, 0.451813
 883,   0.6273, 0.447767
 884,   0.6273, 0.448285
 885,   0.6273, 0.446626
 886,   0.6273, 0.444911
 887,   0.6273, 0.448217
 888,   0.6273, 0.455539
 889,   0.6273, 0.457081
 890,   0.6273, 0.457337
 891,   0.6273, 0.457198
 892,   0.6273, 0.456212
 893,   0.6273,  0.45806
 894,   0.6273, 0.460468
 895,   0.6273, 0.452641
 896,   0.6273, 0.455374
 897,   0.6273, 0.452233
 898,   0.6273,  0.45193
 899,   0.6273,  0.44971
 900,   0.6273, 0.449149
 901,   0.6273,  0.45034
 902,   0.6273, 0.453883
 903,   0.6273, 0.451224
 904,   0.6273, 0.450255
 905,   0.6273,  0.44833
 906,   0.6273, 0.448993
 907,   0.6273, 0.450228
 908,   0.6273, 0.452605
 909,   0.6273, 0.452033
 910,   0.6273, 0.453878
 911,   0.6273, 0.455234
 912,   0.6273, 0.460083
 913,   0.6273, 0.457927
 914,   0.6273, 0.457518
 915,   0.6273,  0.45491
