jen, ranking_hypot_twopoint_best, ranking_hypot_twopoint_ave
 472,   0.6975, 0.598438
 473,   0.6989, 0.604509
 474,   0.7115, 0.603378
 475,   0.7115, 0.611225
 476,     0.71, 0.606878
 477,     0.71, 0.610283
 478,     0.71, 0.601039
 479,     0.71, 0.616465
 480,     0.71, 0.611332
 481,   0.7139, 0.624908
 482,   0.7139, 0.615927
 483,   0.7139, 0.619044
 484,   0.7139, 0.622267
 485,   0.7139, 0.620246
 486,   0.7139, 0.617585
 487,   0.7139,  0.62911
 488,   0.7139, 0.618469
 489,   0.7139, 0.628705
 490,   0.7139, 0.623055
 491,   0.7139, 0.618211
 492,   0.7139, 0.619277
 493,   0.7157, 0.625808
 494,   0.7157, 0.621339
 495,   0.7157, 0.619043
 496,   0.7157, 0.624065
 497,   0.7157, 0.619787
 498,   0.7157, 0.619003
 499,   0.7157, 0.615404
 500,   0.7157, 0.615185
 501,   0.7157, 0.617892
 502,   0.7185, 0.619428
 503,   0.7185, 0.619034
 504,   0.7185, 0.623142
 505,   0.7185, 0.607753
 506,   0.7151, 0.614453
 507,   0.7151,  0.62295
 508,   0.7151, 0.615458
 509,   0.7151, 0.616004
 510,   0.7167,   0.6155
 511,   0.7167, 0.622772
 512,   0.7167, 0.623787
 513,   0.7167, 0.613989
 514,   0.7167, 0.609235
 515,   0.7167, 0.615792
 516,   0.7167, 0.611494
 517,   0.7167, 0.618883
 518,   0.7167, 0.616838
 519,   0.7167, 0.613177
 520,   0.7167, 0.611782
 521,   0.7167, 0.623378
 522,   0.7167, 0.605437
 523,   0.7167, 0.615266
 524,   0.7167, 0.622337
 525,   0.7167, 0.618289
 526,   0.7167, 0.613523
 527,   0.7167, 0.612396
 528,   0.7188, 0.615101
 529,   0.7188, 0.616279
 530,   0.7188, 0.617735
 531,   0.7185,     0.62
 532,   0.7185,   0.6216
 533,   0.7228, 0.621191
 534,   0.7228, 0.612729
 535,   0.7228, 0.624698
 536,   0.7228, 0.628129
 537,   0.7225, 0.620686
 538,   0.7243, 0.618075
 539,   0.7243, 0.626551
 540,   0.7248, 0.622951
 541,   0.7248, 0.615505
 542,   0.7258, 0.616985
 543,   0.7251, 0.615918
 544,   0.7251,  0.62393
 545,   0.7251, 0.621732
 546,   0.7251, 0.635519
 547,   0.7251, 0.621166
 548,   0.7251, 0.633653
 549,   0.7259, 0.620557
 550,   0.7269, 0.628778
 551,   0.7269,  0.62728
 552,    0.732, 0.626106
 553,    0.732, 0.629373
 554,    0.732, 0.620198
 555,    0.732, 0.620088
