gen, ranking_scalar1_uniform_best, ranking_scalar1_uniform_ave
 598,   0.6302, 0.564811
 599,   0.6302, 0.566776
 600,   0.6302,  0.56474
 601,   0.6309,  0.56733
 602,   0.6309, 0.568464
 603,   0.6309, 0.570156
 604,   0.6379, 0.563866
 605,   0.6379, 0.564101
 606,   0.6379, 0.564129
 607,   0.6379, 0.562299
 608,   0.6379, 0.561591
 609,   0.6379, 0.559781
 610,   0.6379, 0.559427
 611,   0.6379, 0.563205
 612,   0.6384, 0.559255
 613,   0.6384, 0.559418
 614,   0.6384, 0.562688
 615,   0.6448, 0.565148
 616,   0.6448, 0.562724
 617,   0.6448, 0.566593
 618,   0.6448,  0.56506
 619,   0.6448, 0.567797
 620,   0.6471, 0.567742
 621,   0.6471,   0.5706
 622,   0.6471, 0.569071
 623,   0.6486, 0.572304
 624,   0.6486, 0.567144
 625,   0.6486, 0.567751
 626,   0.6486, 0.563299
 627,   0.6486, 0.573287
 628,   0.6486, 0.568574
 629,   0.6486, 0.569772
 630,   0.6486, 0.570094
 631,   0.6486, 0.562807
 632,   0.6486, 0.564084
 633,   0.6486, 0.564718
 634,   0.6486,  0.56679
 635,   0.6486, 0.565079
 636,   0.6486, 0.559927
 637,   0.6486, 0.564478
 638,   0.6486, 0.565524
 639,   0.6486, 0.564237
 640,   0.6486, 0.563807
 641,   0.6486, 0.569961
 642,   0.6486, 0.569951
 643,   0.6486, 0.563307
 644,   0.6462, 0.571231
 645,   0.6462, 0.567575
 646,   0.6462, 0.572627
 647,   0.6462, 0.568607
 648,   0.6443, 0.569085
 649,   0.6443, 0.569902
 650,   0.6443, 0.566463
 651,   0.6443, 0.573847
 652,   0.6443, 0.568578
 653,   0.6443, 0.568119
 654,   0.6443, 0.568577
 655,   0.6443, 0.569005
 656,   0.6443, 0.567839
 657,   0.6443, 0.572611
 658,   0.6443, 0.568223
 659,   0.6443, 0.573094
 660,   0.6443,  0.57275
 661,   0.6443, 0.579485
 662,   0.6443, 0.571375
 663,   0.6443, 0.567647
 664,   0.6443,  0.57403
 665,   0.6443, 0.573488
 666,   0.6443, 0.575258
 667,   0.6443, 0.573258
 668,   0.6443, 0.573955
 669,   0.6443, 0.578108
 670,   0.6443,  0.57089
 671,   0.6443, 0.572796
 672,   0.6443, 0.568179
 673,   0.6443, 0.567042
 674,   0.6443, 0.568774
 675,   0.6443, 0.569804
 676,   0.6443, 0.568005
 677,   0.6443, 0.569305
 678,   0.6499, 0.568685
 679,   0.6499, 0.571256
 680,   0.6499, 0.564535
 681,   0.6499, 0.565794
 682,   0.6499, 0.564014
 683,   0.6499,   0.5675
 684,   0.6499, 0.566157
 685,   0.6487, 0.570473
 686,   0.6487, 0.569196
 687,   0.6487, 0.571148
 688,   0.6487, 0.575619
 689,   0.6487, 0.573144
 690,   0.6487, 0.577513
 691,   0.6487, 0.571517
 692,   0.6437, 0.576043
 693,   0.6437, 0.571185
 694,   0.6437, 0.572317
 695,   0.6437, 0.572036
 696,   0.6437, 0.568758
 697,   0.6437, 0.571789
 698,   0.6437,  0.57242
 699,   0.6439, 0.570272
 700,   0.6439, 0.571259
 701,   0.6439, 0.573429
 702,   0.6439,  0.56835
 703,   0.6439, 0.570482
 704,   0.6464, 0.576756
 705,   0.6464, 0.571922
 706,   0.6464, 0.571354
 707,   0.6464, 0.572688
 708,   0.6464, 0.574179
 709,   0.6464, 0.570431
 710,   0.6464,  0.56526
 711,   0.6464, 0.569647
 712,   0.6464, 0.568837
 713,   0.6464, 0.567672
 714,   0.6464, 0.572703
 715,   0.6464, 0.571553
 716,   0.6464, 0.571643
 717,   0.6464, 0.569963
 718,   0.6464, 0.571601
 719,   0.6464, 0.569032
 720,   0.6464, 0.573081
 721,   0.6464, 0.574138
 722,   0.6464,  0.56867
 723,   0.6464, 0.572389
 724,   0.6464, 0.568817
 725,   0.6464, 0.567853
 726,   0.6464, 0.571291
 727,   0.6464, 0.574467
 728,   0.6464, 0.575997
 729,   0.6464, 0.572577
 730,   0.6464, 0.576252
 731,   0.6464, 0.570904
 732,   0.6464, 0.567797
 733,   0.6464, 0.572049
 734,   0.6464, 0.570715
 735,   0.6464, 0.569294
 736,   0.6464, 0.566979
 737,   0.6464, 0.572327
 738,   0.6464, 0.573702
 739,   0.6421, 0.572324
 740,   0.6421, 0.572801
 741,   0.6421, 0.577249
 742,   0.6421, 0.574631
 743,   0.6421, 0.577361
 744,   0.6421, 0.573061
 745,   0.6421, 0.570884
 746,   0.6421, 0.572097
 747,   0.6421, 0.570984
 748,   0.6421,  0.57137
 749,   0.6421, 0.570323
 750,   0.6423, 0.573713
 751,   0.6423, 0.572936
 752,   0.6423, 0.575565
 753,   0.6423, 0.571306
 754,   0.6423, 0.572989
 755,   0.6423, 0.576186
 756,   0.6423, 0.574271
 757,   0.6423, 0.576176
 758,   0.6423, 0.573908
 759,   0.6423,    0.573
 760,   0.6423, 0.576994
 761,   0.6423, 0.576904
 762,   0.6423, 0.570908
 763,   0.6423,  0.57439
 764,   0.6423, 0.575098
 765,   0.6423, 0.569849
 766,   0.6423, 0.572951
 767,   0.6423,  0.57473
 768,   0.6423,  0.57511
 769,   0.6423, 0.573378
 770,   0.6423, 0.568277
 771,   0.6423, 0.573054
 772,   0.6423, 0.571352
 773,   0.6423, 0.574101
 774,   0.6471, 0.570779
 775,   0.6471, 0.561951
 776,   0.6471, 0.569418
 777,   0.6459, 0.570176
 778,   0.6459, 0.572421
 779,   0.6459, 0.571967
 780,   0.6459, 0.571659
 781,   0.6459, 0.569996
 782,   0.6459, 0.572944
 783,   0.6459, 0.573685
 784,   0.6459, 0.570719
 785,   0.6459, 0.570026
 786,   0.6459, 0.569509
 787,   0.6459, 0.572905
 788,   0.6459, 0.574344
 789,   0.6459, 0.574588
 790,   0.6459, 0.574036
 791,   0.6459, 0.573077
 792,   0.6459, 0.570669
 793,   0.6459, 0.571067
 794,   0.6459, 0.575397
 795,   0.6459, 0.575964
 796,   0.6459, 0.570417
 797,   0.6459,  0.57281
 798,   0.6459,  0.57294
 799,   0.6459, 0.579852
 800,   0.6555, 0.575647
 801,   0.6555, 0.577404
 802,   0.6555, 0.572468
 803,   0.6555, 0.577855
 804,   0.6555, 0.574439
 805,   0.6555, 0.575474
 806,   0.6555, 0.573663
 807,   0.6555, 0.574073
 808,   0.6555, 0.575566
 809,   0.6555,  0.57767
 810,   0.6555, 0.578447
 811,   0.6555, 0.579132
 812,   0.6555,  0.57823
 813,   0.6555, 0.575194
 814,   0.6555, 0.580362
 815,   0.6555, 0.575344
 816,   0.6555, 0.576119
 817,   0.6555,   0.5743
 818,   0.6443, 0.577187
 819,   0.6443, 0.572392
 820,   0.6443, 0.570825
 821,   0.6443, 0.572235
 822,   0.6443, 0.571887
 823,   0.6443, 0.574875
 824,   0.6443, 0.566772
 825,   0.6443, 0.568624
 826,   0.6443, 0.569577
 827,   0.6443, 0.567096
 828,   0.6443, 0.567333
 829,   0.6443, 0.569467
 830,   0.6443, 0.568224
 831,   0.6443, 0.569821
 832,   0.6443, 0.567267
 833,   0.6443,  0.56917
 834,   0.6443, 0.572769
 835,   0.6443, 0.562463
 836,   0.6443, 0.565377
 837,   0.6443, 0.566418
 838,   0.6443, 0.568784
 839,   0.6443, 0.568782
 840,   0.6513, 0.565373
 841,   0.6513, 0.567541
 842,   0.6513, 0.571943
 843,   0.6513, 0.571385
 844,   0.6513, 0.566108
 845,   0.6513, 0.565653
 846,   0.6513,  0.56782
 847,   0.6513, 0.565934
 848,   0.6513, 0.565399
 849,   0.6513, 0.570014
 850,   0.6513, 0.565994
 851,   0.6452, 0.566443
 852,   0.6452, 0.565155
 853,   0.6519, 0.567576
 854,   0.6519, 0.570427
 855,   0.6519, 0.571187
 856,   0.6519,  0.57265
 857,   0.6519, 0.571975
 858,   0.6419, 0.575855
 859,   0.6419, 0.572923
 860,   0.6419, 0.572812
 861,   0.6419, 0.574669
 862,   0.6419, 0.568406
 863,   0.6419, 0.569005
 864,   0.6419, 0.572872
 865,   0.6419, 0.573066
 866,   0.6419, 0.570337
 867,   0.6419, 0.569851
 868,   0.6419, 0.566538
 869,   0.6419, 0.569191
 870,   0.6419, 0.571064
 871,   0.6419, 0.568722
 872,   0.6419, 0.573111
 873,   0.6419,  0.57406
 874,   0.6419, 0.575725
 875,   0.6419, 0.576038
 876,   0.6419, 0.569993
 877,   0.6419, 0.563618
 878,   0.6419, 0.565348
 879,   0.6419, 0.572457
 880,   0.6419, 0.573896
 881,   0.6467, 0.576676
 882,   0.6467, 0.574179
 883,   0.6445, 0.573796
 884,   0.6445,  0.56779
 885,   0.6445, 0.566557
 886,   0.6445, 0.573095
 887,   0.6445, 0.567357
 888,   0.6445, 0.572959
 889,   0.6445, 0.569955
 890,   0.6445, 0.570729
 891,   0.6445,  0.57243
 892,   0.6445, 0.576948
 893,   0.6445, 0.576376
 894,   0.6445, 0.575795
 895,   0.6445, 0.574387
 896,   0.6445, 0.571176
 897,   0.6445, 0.569314
 898,   0.6445, 0.573746
 899,   0.6445, 0.572601
 900,   0.6445, 0.566097
 901,   0.6445, 0.570163
 902,   0.6506, 0.567654
 903,   0.6506, 0.564908
 904,   0.6506, 0.567958
 905,   0.6506, 0.575911
 906,   0.6533, 0.570473
 907,   0.6533, 0.567229
 908,   0.6533, 0.571911
 909,   0.6533, 0.575709
 910,   0.6533, 0.571966
 911,   0.6533, 0.570767
 912,   0.6533, 0.569689
 913,   0.6533, 0.570183
 914,   0.6533,  0.57099
 915,   0.6533, 0.563507
 916,   0.6533, 0.571563
 917,   0.6533, 0.570187
 918,   0.6533, 0.570515
 919,   0.6533,  0.56935
 920,   0.6533, 0.564885
 921,   0.6533, 0.574327
 922,   0.6533, 0.569696
 923,   0.6541, 0.569323
 924,   0.6541, 0.568316
 925,   0.6541, 0.565183
 926,   0.6541, 0.570969
