gen, tournament_scalar3_uniform_best, tournament_scalar3_uniform_ave
 846,   0.8102, 0.744213
 847,   0.8102, 0.739981
 848,   0.8122, 0.741994
 849,   0.8122, 0.745848
 850,   0.8122, 0.744021
 851,   0.8122, 0.743743
 852,   0.8122, 0.745883
 853,   0.8122, 0.741475
 854,   0.8122, 0.740152
 855,   0.8122,   0.7446
 856,   0.8122, 0.744247
 857,   0.8122, 0.744926
 858,   0.8122, 0.742545
 859,   0.8122, 0.738842
 860,   0.8122, 0.740873
 861,   0.8122, 0.747958
 862,   0.8122,  0.74895
 863,   0.8122, 0.747083
 864,   0.8122, 0.742991
 865,   0.8122, 0.744227
 866,   0.8122, 0.742301
 867,   0.8122, 0.739209
 868,   0.8122, 0.741951
 869,   0.8122, 0.746919
 870,   0.8122, 0.749548
 871,   0.8122, 0.743625
 872,   0.8118, 0.743842
 873,   0.8118, 0.747606
 874,   0.8118, 0.748406
 875,   0.8118, 0.750181
 876,   0.8118, 0.745044
 877,   0.8118, 0.744076
 878,   0.8118, 0.744988
 879,   0.8118, 0.744921
 880,   0.8118,  0.74331
 881,   0.8118, 0.745246
 882,   0.8118, 0.741735
 883,   0.8118,  0.74073
 884,   0.8118, 0.743252
 885,   0.8118, 0.741529
 886,   0.8118, 0.741371
 887,   0.8118, 0.738904
 888,   0.8118, 0.743541
 889,   0.8118, 0.746141
 890,   0.8118, 0.743888
 891,   0.8118, 0.744301
 892,   0.8122, 0.743806
 893,   0.8122, 0.744809
 894,   0.8122, 0.744024
 895,   0.8122, 0.745695
 896,   0.8122,  0.74319
 897,   0.8122, 0.742926
 898,   0.8122, 0.743633
 899,   0.8119, 0.746489
 900,   0.8119, 0.747207
 901,   0.8119, 0.748998
 902,    0.814,  0.74897
 903,    0.814, 0.745622
 904,    0.814, 0.744815
 905,    0.814, 0.743988
 906,    0.814, 0.744267
 907,    0.814, 0.749613
 908,    0.814, 0.746027
 909,    0.814, 0.748299
 910,    0.814, 0.749101
 911,   0.8159, 0.751077
 912,   0.8159, 0.750214
 913,   0.8159, 0.750893
 914,   0.8159, 0.752872
 915,   0.8159, 0.752092
 916,   0.8159,  0.74854
 917,   0.8159, 0.750473
 918,   0.8159, 0.755028
 919,   0.8159, 0.752294
 920,   0.8159, 0.749601
 921,   0.8163, 0.752563
 922,   0.8163, 0.746068
 923,   0.8163, 0.756633
 924,   0.8163, 0.755639
 925,   0.8163, 0.750177
 926,   0.8163, 0.750658
 927,   0.8163, 0.751712
 928,   0.8163, 0.753632
 929,   0.8163, 0.753573
